,TimeStamp,D1_Commanded_Torque,D1_DC_Bus_Voltage,D2_Motor_Speed,IVT_Result_I,Wheel_Speed,Power,Incremental_Energy,Total_Energy,adjusted_time_ms,time_on_video
14899,1718634664533.1875,23.8771,504.835,1262.66,8.95238,9.724546572299742,4519.4747572999995,40.67527281569999,195173.20005821547,31761010.476021525,529:21.01
14900,1718634664542.1873,24.2,506.865,1170.56,8.0445,9.0152259798134,4077.4754924999997,36.6972794325,195209.89733764797,31761019.344805155,529:21.02
14901,1718634664551.187,24.8374,508.365,1105.63,6.7278400000000005,8.515158812928075,3420.1983816,30.7817854344,195240.67912308237,31761028.21358879,529:21.03
14902,1718634664560.1868,26.0,509.087,1099.05,5.93945,8.464482053986055,3023.6967821499998,27.213271039349994,195267.89239412174,31761037.08237242,529:21.04
14903,1718634664569.1863,26.7789,507.217,1130.96,5.53941,8.710241229949563,2809.68292197,25.287146297729997,195293.17954041946,31761045.951156054,529:21.05
14904,1718634664578.1863,28.7665,505.813,1172.69,5.71099,9.031630462571227,2888.6929848699997,25.998236863829995,195319.17777728327,31761054.819939684,529:21.05
14905,1718634664587.186,29.8,507.051,1217.42,6.92551,9.376124600485605,3511.58677101,31.60428093909,195350.78205822236,31761063.688723315,529:21.06
14906,1718634664596.1855,30.2956,506.317,1260.29,8.12733,9.706293697118497,4115.005343610001,37.03504809249,195387.81710631485,31761072.55750695,529:21.07
14907,1718634664605.1855,31.2,504.136,1279.6,9.24555,9.855012270852605,4661.0145948,41.949131353199995,195429.76623766805,31761081.42629058,529:21.08
14908,1718634664614.1853,32.3679,503.316,1255.65,10.3638,9.670558110265766,5216.266360799999,46.94639724719999,195476.71263491525,31761090.295074213,529:21.09
14909,1718634664623.185,34.5,504.251,1196.76,10.3115,9.217008819369774,5199.5841865,46.7962576785,195523.50889259376,31761099.163857844,529:21.10
14910,1718634664632.1848,34.3585,504.537,1128.19,10.1428,8.68890770072929,5117.417883599999,46.05676095239999,195569.56565354616,31761108.032641474,529:21.11
14911,1718634664641.1843,35.4446,505.949,1075.93,9.34909,8.2864202505302,4730.16273641,42.57146462769,195612.13711817385,31761116.90142511,529:21.12
14912,1718634664650.1843,37.9,505.469,1061.61,8.27092,8.176132835932973,4180.69366148,37.626242953319995,195649.76336112717,31761125.77020874,529:21.13
